Y;PosicionEquipo;PosicionRival;PuntosAbajo;Tipo de partido
1;3;6;6;Primero
1;6;8;3;Perdiendo
1;2;7;2;Perdiendo
1;5;8;5;Primero
1;5;4;6;Primero
0;8;1;5;Ganando
0;7;2;11;Perdiendo
0;8;1;15;Primero
0;3;4;11;Perdiendo
0;4;2;9;Primero
0;8;1;17;Perdiendo
0;6;3;8;Ganando
0;7;2;12;Perdiendo
0;1;2;9;Perdiendo
1;1;8;5;Perdiendo
0;5;4;4;Empate
1;4;8;1;Perdiendo
1;4;7;5;Empate
0;5;4;12;Perdiendo
0;7;2;13;Ganando
1;1;8;1;Perdiendo
1;6;12;6;Perdiendo
0;2;7;8;Perdiendo
0;2;7;7;Empate
1;2;9;1;Primero
1;7;10;4;Primero
0;8;4;12;Ganando
1;6;7;4;Primero
0;7;2;13;Primero
0;5;4;12;Primero
0;12;1;8;Ganando
0;13;9;14;Primero
1;4;8;2;Perdiendo
0;2;5;13;Ganando
1;3;15;5;Primero
1;3;14;6;Perdiendo
0;13;6;3;Empate
0;14;1;11;Ganando
0;10;5;6;Ganando
1;1;7;9;Perdiendo
0;13;12;12;Primero
0;11;7;3;Ganando
1;9;10;2;Perdiendo
0;15;5;9;Empate
0;8;4;13;Empate
0;13;3;11;Primero
0;9;3;17;Ganando
0;10;7;14;Primero
1;5;11;7;Primero
1;4;5;8;Perdiendo
1;2;14;3;Primero
1;7;9;11;Primero
1;5;7;8;Perdiendo
1;5;9;7;Perdiendo
1;6;13;6;Perdiendo
1;3;6;3;Ganando
1;4;3;8;Primero
0;8;6;12;Ganando
1;6;9;3;Perdiendo
1;7;11;4;Perdiendo
1;3;6;11;Primero
0;12;7;8;Empate
1;8;9;5;Perdiendo
0;11;4;4;Empate
1;9;6;4;Primero
1;5;13;2;Ganando
1;4;9;6;Primero
1;6;5;9;Perdiendo
1;3;7;7;Primero
0;4;6;7;Primero
